Translation,word,
холодильник,fridge
морозильник,freezer
мусорное ведро,bin
стиральная машина,washing machine
раковина,sink
кран,tap
микроволновая печь,microwave
шкаф,cupboard
плита,cooker
полка,shelf
рабочая поверхность,worktop
посудомоечная машина,dishwasher
жидкость для мытья посуды,Washing-up liquid
полотенце для посуды,tea towel
кастрюля,saucepan
жарка,frying
чайник,teapot
салфетка,cloth
кофеварка,coffee maker
бумажные полотенца,kitchen roll
чашка,cup
тарелка,plate
миска,bowl
вилка,fork
нож,knife
палочки для еды,chopsticks
ложка,spoon
кружка,mug
стакан,glass
